temparature,humidity,moisture,soil_type,crop_type,nitrogen,potassium,phosphorous,fertilizer_name
31.18,61.94,25.48,Clayey,Sugarcane,10,3,36,Urea
27.64,40.23,66.03,Red,Sugarcane,38,3,3,Urea
27.52,50.05,30.28,Clayey,Sugarcane,15,1,12,20-20
37.69,56.38,57.45,Clayey,Sugarcane,7,2,8,10-26-26
26.28,48.68,70.0,Red,Sugarcane,34,4,2,Urea
25.57,62.06,37.05,Clayey,Sugarcane,12,4,13,20-20
32.45,72.32,58.58,Red,Sugarcane,35,4,4,17-17-17
30.78,58.79,47.7,Clayey,Sugarcane,27,4,19,DAP
24.16,50.01,55.95,Sandy,Sugarcane,3,10,28,28-28
20.52,53.81,70.0,Black,Sugarcane,7,4,9,14-35-14
26.61,61.2,31.07,Loamy,Sugarcane,8,2,10,14-35-14
22.62,42.74,22.19,Loamy,Sugarcane,18,15,9,14-35-14
32.87,61.85,40.26,Black,Sugarcane,13,1,9,Urea
29.57,61.98,37.31,Clayey,Sugarcane,14,0,37,28-28
32.06,56.81,35.82,Black,Sugarcane,17,0,21,14-35-14
32.41,73.63,40.09,Loamy,Sugarcane,42,0,0,DAP
34.11,57.79,43.23,Red,Sugarcane,26,1,23,17-17-17
22.87,45.11,21.74,Black,Sugarcane,13,13,13,DAP
25.46,51.66,35.48,Clayey,Sugarcane,23,4,14,17-17-17
27.86,67.32,40.15,Clayey,Sugarcane,5,0,9,17-17-17
33.89,67.27,44.73,Clayey,Sugarcane,21,0,13,10-26-26
35.21,73.16,48.0,Black,Sugarcane,8,4,13,28-28
28.69,57.93,30.03,Sandy,Sugarcane,32,1,2,17-17-17
28.99,60.36,45.61,Black,Sugarcane,16,0,40,28-28
32.6,54.47,50.6,Clayey,Sugarcane,3,17,13,20-20
38.19,61.79,70.0,Loamy,Sugarcane,2,7,27,20-20
28.87,57.72,46.25,Clayey,Sugarcane,5,8,33,28-28
33.06,73.54,63.25,Red,Sugarcane,3,13,31,14-35-14
38.1,74.1,66.48,Loamy,Sugarcane,33,0,3,17-17-17
25.92,63.87,37.41,Red,Sugarcane,10,0,14,10-26-26
29.23,61.98,39.5,Loamy,Sugarcane,8,16,18,14-35-14
37.23,57.81,35.92,Red,Sugarcane,38,1,3,Urea
30.74,57.16,66.9,Sandy,Sugarcane,38,0,3,20-20
25.47,55.49,58.13,Loamy,Sugarcane,13,11,28,28-28
30.81,47.67,38.48,Sandy,Sugarcane,5,19,24,Urea
29.47,59.62,31.33,Red,Sugarcane,41,1,2,10-26-26
29.54,59.13,40.66,Loamy,Sugarcane,41,0,0,17-17-17
33.48,58.65,32.9,Loamy,Sugarcane,7,3,39,28-28
24.14,51.65,39.68,Black,Sugarcane,7,4,27,14-35-14
27.83,41.06,29.89,Sandy,Sugarcane,15,16,7,Urea
27.57,47.43,38.87,Red,Sugarcane,21,0,19,20-20
26.48,61.28,57.82,Sandy,Sugarcane,9,3,16,10-26-26
38.64,74.69,33.53,Sandy,Sugarcane,14,3,16,Urea
27.12,47.82,58.64,Clayey,Sugarcane,38,0,0,Urea
28.03,42.81,70.0,Black,Sugarcane,5,0,14,10-26-26
37.56,66.53,37.17,Black,Sugarcane,15,0,39,14-35-14
34.03,60.39,43.18,Loamy,Sugarcane,10,0,6,10-26-26
40.0,76.4,57.23,Red,Sugarcane,10,19,18,14-35-14
24.06,53.06,37.08,Sandy,Sugarcane,23,0,24,28-28
32.09,67.57,37.6,Loamy,Sugarcane,25,0,18,10-26-26
30.09,51.69,31.75,Clayey,Sugarcane,35,2,0,20-20
35.92,63.54,54.99,Clayey,Sugarcane,17,0,40,14-35-14
33.8,69.65,29.13,Black,Sugarcane,11,2,33,20-20
28.68,48.05,70.0,Clayey,Sugarcane,4,0,10,10-26-26
26.52,59.29,37.89,Black,Sugarcane,21,0,19,14-35-14
25.2,65.72,54.26,Black,Sugarcane,8,2,32,20-20
26.08,44.39,42.34,Clayey,Sugarcane,16,2,26,20-20
32.02,47.68,43.98,Loamy,Sugarcane,36,0,0,28-28
27.41,53.44,36.65,Black,Sugarcane,31,0,0,Urea
28.17,50.93,37.01,Clayey,Sugarcane,30,0,0,17-17-17
38.12,66.69,33.67,Loamy,Sugarcane,15,2,9,DAP
24.11,57.89,23.7,Loamy,Sugarcane,27,2,17,28-28
30.02,68.96,35.81,Red,Sugarcane,14,0,32,20-20
30.38,67.91,57.24,Sandy,Sugarcane,14,0,33,14-35-14
24.98,47.0,20.99,Loamy,Sugarcane,15,12,6,28-28
36.94,58.84,55.16,Sandy,Sugarcane,1,7,33,28-28
32.01,57.23,32.85,Sandy,Sugarcane,41,1,2,10-26-26
24.76,55.27,34.69,Sandy,Sugarcane,17,16,20,17-17-17
23.36,50.24,34.4,Sandy,Sugarcane,40,0,2,DAP
25.68,50.13,50.92,Red,Sugarcane,36,1,0,Urea
36.99,70.45,29.04,Red,Sugarcane,27,1,20,DAP
35.01,69.3,40.11,Sandy,Sugarcane,25,0,32,DAP
34.02,63.05,32.44,Clayey,Sugarcane,11,13,26,20-20
26.44,51.89,42.5,Clayey,Sugarcane,17,0,8,28-28
27.43,65.87,20.0,Sandy,Sugarcane,15,0,44,17-17-17
24.15,51.72,31.91,Red,Sugarcane,9,4,13,Urea
34.34,54.99,47.61,Black,Sugarcane,8,0,10,DAP
30.94,46.3,42.29,Loamy,Sugarcane,8,3,31,28-28
29.13,72.87,40.38,Black,Sugarcane,9,15,19,Urea
33.6,59.48,46.26,Sandy,Sugarcane,17,14,15,Urea
21.81,55.61,64.1,Red,Sugarcane,9,2,11,Urea
25.24,59.52,65.55,Black,Sugarcane,7,0,4,28-28
25.08,46.33,34.66,Red,Sugarcane,45,2,0,10-26-26
28.67,57.85,35.03,Red,Sugarcane,25,0,15,Urea
32.87,73.43,28.8,Clayey,Sugarcane,43,0,1,DAP
29.63,52.15,29.15,Red,Sugarcane,10,0,14,28-28
29.83,49.84,47.91,Red,Sugarcane,9,0,36,14-35-14
20.09,57.36,36.23,Clayey,Sugarcane,10,17,18,14-35-14
29.84,56.17,52.61,Clayey,Sugarcane,24,4,25,DAP
23.48,58.68,33.71,Black,Sugarcane,32,0,0,DAP
23.31,47.22,25.84,Sandy,Sugarcane,11,10,9,Urea
32.46,68.48,31.3,Sandy,Sugarcane,8,4,43,14-35-14
32.76,50.34,37.94,Loamy,Sugarcane,16,1,31,Urea
21.71,44.2,43.22,Black,Sugarcane,21,0,23,Urea
25.29,40.62,42.74,Sandy,Sugarcane,5,21,18,Urea
29.3,51.86,65.79,Sandy,Sugarcane,13,0,13,14-35-14
29.52,60.02,61.06,Clayey,Sugarcane,10,2,12,28-28
29.49,43.74,32.44,Loamy,Sugarcane,22,0,20,DAP
26.9,56.65,22.83,Sandy,Sugarcane,15,0,37,10-26-26
32.35,78.2,31.24,Black,Sugarcane,9,1,43,DAP
36.11,66.33,59.78,Sandy,Sugarcane,3,8,27,DAP
30.48,50.15,24.47,Black,Sugarcane,14,0,38,17-17-17
25.01,46.13,30.97,Sandy,Sugarcane,35,0,0,10-26-26
29.27,71.38,65.51,Sandy,Sugarcane,28,0,23,17-17-17
33.32,78.29,41.09,Sandy,Sugarcane,8,6,24,28-28
35.01,65.35,36.5,Clayey,Sugarcane,42,1,0,10-26-26
25.94,50.12,26.04,Loamy,Sugarcane,36,0,0,10-26-26
30.14,59.84,37.42,Clayey,Sugarcane,39,0,0,20-20
32.86,56.84,32.25,Clayey,Sugarcane,41,2,1,10-26-26
36.23,68.79,36.18,Clayey,Sugarcane,8,0,34,17-17-17
30.03,55.83,47.14,Red,Sugarcane,36,0,0,17-17-17
30.12,53.39,40.75,Red,Sugarcane,35,4,0,10-26-26
26.5,61.3,48.77,Loamy,Sugarcane,16,18,13,20-20
36.62,58.47,20.56,Clayey,Sugarcane,38,0,0,DAP
30.13,69.07,35.42,Clayey,Sugarcane,20,1,16,28-28
38.32,71.66,50.39,Black,Sugarcane,37,0,0,17-17-17
24.21,45.53,53.62,Clayey,Sugarcane,26,0,14,17-17-17
20.18,41.05,47.98,Red,Sugarcane,25,0,21,17-17-17
35.18,65.15,45.91,Loamy,Sugarcane,41,0,0,DAP
33.54,59.23,58.43,Black,Sugarcane,5,9,31,DAP
29.67,72.9,65.59,Red,Sugarcane,19,0,20,Urea
24.11,49.64,57.81,Loamy,Sugarcane,5,0,17,20-20
35.08,73.75,41.25,Sandy,Sugarcane,9,0,36,14-35-14
22.27,53.03,30.0,Loamy,Sugarcane,15,0,11,17-17-17
36.37,63.99,35.94,Loamy,Sugarcane,2,4,30,10-26-26
29.65,62.11,56.95,Loamy,Sugarcane,11,0,31,17-17-17
26.8,46.32,34.25,Sandy,Sugarcane,35,2,0,10-26-26
33.21,63.32,33.71,Black,Sugarcane,39,0,0,10-26-26
29.98,56.74,53.98,Black,Sugarcane,12,0,42,Urea
26.13,69.56,48.25,Loamy,Sugarcane,45,0,0,28-28
33.02,72.76,53.2,Red,Sugarcane,23,0,15,20-20
31.06,55.41,33.8,Loamy,Sugarcane,37,4,0,28-28
35.65,76.12,51.26,Black,Sugarcane,11,0,31,14-35-14
40.0,51.64,34.96,Clayey,Sugarcane,19,0,37,17-17-17
33.33,65.8,44.88,Clayey,Sugarcane,38,4,3,28-28
27.53,48.15,30.5,Clayey,Sugarcane,9,0,37,DAP
34.48,67.12,37.64,Red,Sugarcane,25,0,29,DAP
35.15,72.72,54.71,Loamy,Sugarcane,45,3,4,17-17-17
29.04,51.0,20.0,Red,Sugarcane,16,4,35,Urea
31.92,68.89,39.95,Clayey,Sugarcane,13,0,43,17-17-17
29.17,54.85,46.06,Red,Sugarcane,11,3,29,17-17-17
37.62,72.75,64.33,Black,Sugarcane,8,9,32,20-20
40.0,65.06,37.28,Red,Sugarcane,15,4,37,20-20
33.17,50.88,48.64,Black,Sugarcane,15,0,8,DAP
38.25,62.67,37.09,Clayey,Sugarcane,3,6,30,10-26-26
31.88,48.43,27.23,Clayey,Sugarcane,32,0,0,28-28
26.17,51.49,20.6,Red,Sugarcane,9,12,15,Urea
24.58,62.8,66.11,Red,Sugarcane,9,0,9,14-35-14
38.7,76.26,57.0,Sandy,Sugarcane,36,4,4,20-20
25.62,54.23,41.6,Red,Sugarcane,6,4,9,28-28
31.12,49.68,47.94,Loamy,Sugarcane,6,4,32,28-28
38.34,57.32,38.09,Clayey,Sugarcane,27,4,21,20-20
29.3,58.88,50.39,Loamy,Sugarcane,45,2,0,DAP
29.42,68.0,27.65,Sandy,Sugarcane,38,0,4,28-28
30.26,62.97,59.02,Loamy,Sugarcane,9,0,40,17-17-17
24.85,58.23,20.0,Clayey,Sugarcane,19,11,7,10-26-26
33.49,68.43,31.16,Red,Sugarcane,41,4,0,DAP
21.57,52.34,32.89,Red,Sugarcane,12,15,7,14-35-14
25.15,57.65,58.66,Clayey,Sugarcane,8,0,5,14-35-14
35.71,55.39,49.56,Black,Sugarcane,13,0,42,14-35-14
33.99,48.08,50.86,Sandy,Sugarcane,8,4,37,10-26-26
30.07,65.17,41.29,Red,Sugarcane,37,0,0,17-17-17
29.31,65.92,49.87,Sandy,Sugarcane,13,1,5,20-20
30.91,62.52,32.61,Black,Sugarcane,35,0,0,20-20
34.39,70.57,50.22,Red,Sugarcane,10,13,15,20-20
31.04,69.96,53.87,Sandy,Sugarcane,24,1,32,14-35-14
34.07,61.51,36.87,Clayey,Sugarcane,2,18,19,DAP
28.49,50.47,70.0,Clayey,Sugarcane,11,12,30,14-35-14
31.86,65.87,48.75,Loamy,Sugarcane,13,17,16,DAP
33.21,64.6,57.98,Red,Sugarcane,2,5,31,28-28
29.8,61.21,33.62,Loamy,Sugarcane,38,1,0,17-17-17
34.93,61.43,44.65,Black,Sugarcane,20,1,20,Urea
31.11,61.64,58.52,Loamy,Sugarcane,15,0,37,20-20
34.42,71.01,48.66,Loamy,Sugarcane,10,9,14,Urea
22.62,60.09,38.4,Black,Sugarcane,11,3,36,Urea
34.58,68.3,42.15,Loamy,Sugarcane,5,4,27,14-35-14
26.83,46.99,40.08,Loamy,Sugarcane,24,2,16,Urea
30.79,61.55,57.57,Loamy,Sugarcane,7,0,7,10-26-26
25.51,59.65,53.61,Red,Sugarcane,15,13,15,14-35-14
39.42,64.09,20.97,Red,Sugarcane,11,6,27,DAP
29.16,49.45,20.83,Black,Sugarcane,11,11,12,28-28
29.39,57.26,57.53,Clayey,Sugarcane,12,4,33,28-28
31.57,53.08,43.02,Sandy,Sugarcane,24,0,25,20-20
30.48,67.9,25.48,Clayey,Sugarcane,11,2,34,28-28
30.52,70.57,59.93,Clayey,Sugarcane,38,3,2,14-35-14
30.79,52.36,42.22,Clayey,Sugarcane,3,13,18,14-35-14
35.93,77.82,40.02,Black,Sugarcane,42,0,1,DAP
31.88,55.48,48.99,Sandy,Sugarcane,36,0,3,14-35-14
31.94,49.09,33.57,Clayey,Sugarcane,9,10,32,Urea
25.63,62.5,43.69,Loamy,Sugarcane,21,0,25,DAP
36.99,61.66,67.74,Sandy,Sugarcane,2,7,27,Urea
39.57,71.95,48.79,Black,Sugarcane,42,0,1,10-26-26
29.17,56.11,33.33,Clayey,Sugarcane,17,0,24,14-35-14
30.08,65.89,54.29,Loamy,Sugarcane,17,0,38,28-28
40.0,77.37,53.95,Loamy,Sugarcane,34,0,2,20-20
33.69,65.59,44.33,Clayey,Sugarcane,9,4,31,14-35-14
22.93,58.97,53.96,Black,Sugarcane,6,0,10,Urea
22.07,43.99,24.58,Clayey,Sugarcane,44,4,0,Urea
31.39,65.28,55.06,Clayey,Sugarcane,20,0,20,17-17-17
36.5,63.95,29.3,Clayey,Sugarcane,10,9,31,20-20
39.17,60.87,33.65,Sandy,Sugarcane,17,0,14,28-28
36.41,64.96,59.81,Black,Sugarcane,7,10,28,17-17-17
35.75,72.31,48.51,Loamy,Sugarcane,18,4,21,28-28
40.0,67.52,54.89,Clayey,Sugarcane,7,8,30,14-35-14
25.22,53.73,30.89,Sandy,Sugarcane,12,0,15,28-28
25.26,57.8,26.57,Red,Sugarcane,15,0,37,Urea
25.54,65.98,69.67,Black,Sugarcane,7,0,37,10-26-26
33.34,55.85,23.34,Red,Sugarcane,11,0,42,10-26-26
32.47,65.43,40.33,Red,Sugarcane,2,9,32,20-20
36.14,63.2,37.97,Sandy,Sugarcane,3,20,21,Urea
36.59,60.09,43.56,Loamy,Sugarcane,15,0,37,DAP
30.49,62.68,54.33,Red,Sugarcane,11,0,39,28-28
34.2,76.61,35.31,Sandy,Sugarcane,10,5,32,20-20
20.22,58.88,39.39,Sandy,Sugarcane,25,0,22,28-28
30.85,61.14,54.1,Red,Sugarcane,34,0,0,14-35-14
31.03,60.24,49.2,Sandy,Sugarcane,39,0,1,28-28
22.76,48.63,20.61,Clayey,Sugarcane,13,2,40,10-26-26
24.09,56.99,25.25,Red,Sugarcane,38,0,0,Urea
35.52,53.01,36.3,Clayey,Sugarcane,26,0,27,20-20
24.01,50.76,23.95,Clayey,Sugarcane,10,14,31,20-20
27.27,70.2,48.0,Black,Sugarcane,21,0,22,Urea
31.48,62.41,24.55,Sandy,Sugarcane,14,0,34,17-17-17
24.06,59.62,70.0,Red,Sugarcane,17,0,32,10-26-26
22.21,52.71,52.42,Clayey,Sugarcane,12,0,12,28-28
39.45,61.53,28.76,Loamy,Sugarcane,15,0,39,14-35-14
31.04,52.32,62.57,Loamy,Sugarcane,10,8,26,17-17-17
29.86,52.39,28.29,Loamy,Sugarcane,10,0,44,Urea
26.36,64.53,20.0,Black,Sugarcane,0,21,19,17-17-17
30.55,51.34,42.6,Black,Sugarcane,9,0,7,17-17-17
34.17,58.77,44.38,Sandy,Sugarcane,43,3,1,28-28
40.0,64.69,54.83,Loamy,Sugarcane,8,8,25,DAP
22.52,59.32,31.39,Black,Sugarcane,36,0,3,17-17-17
28.93,60.61,46.4,Sandy,Sugarcane,38,0,0,17-17-17
30.99,47.42,57.98,Clayey,Sugarcane,5,3,10,28-28
26.53,58.97,45.49,Black,Sugarcane,20,1,25,10-26-26
38.8,63.61,68.24,Black,Sugarcane,12,0,37,Urea
35.0,65.39,37.65,Loamy,Sugarcane,18,2,44,DAP
24.96,44.47,66.11,Sandy,Sugarcane,8,0,9,17-17-17
29.28,71.07,35.67,Black,Sugarcane,12,3,41,Urea
23.59,52.26,42.23,Sandy,Sugarcane,20,1,25,20-20
32.51,62.88,48.48,Loamy,Sugarcane,22,1,18,Urea
27.98,51.57,32.44,Sandy,Sugarcane,40,3,4,10-26-26
25.09,43.46,52.01,Black,Sugarcane,11,0,8,14-35-14
24.5,53.2,40.47,Sandy,Sugarcane,6,18,18,DAP
23.91,49.16,24.07,Black,Sugarcane,4,6,28,17-17-17
28.63,48.69,39.09,Red,Sugarcane,40,0,1,20-20
34.47,63.73,36.79,Red,Sugarcane,14,0,35,20-20
33.33,65.37,31.42,Black,Sugarcane,39,0,4,10-26-26
33.94,65.0,36.07,Red,Sugarcane,44,0,4,10-26-26
26.24,43.51,41.0,Red,Sugarcane,25,4,23,20-20
40.0,71.21,45.73,Clayey,Sugarcane,38,0,2,DAP
24.63,50.31,63.27,Sandy,Sugarcane,36,0,0,17-17-17
34.16,69.55,53.12,Clayey,Sugarcane,5,6,23,28-28
28.72,55.54,27.69,Sandy,Sugarcane,39,0,3,28-28
30.32,69.9,51.72,Black,Sugarcane,5,6,29,10-26-26
30.38,63.85,24.8,Red,Sugarcane,11,14,16,10-26-26
28.1,59.34,39.97,Loamy,Sugarcane,4,18,16,17-17-17
32.44,66.7,44.68,Black,Sugarcane,6,2,14,14-35-14
26.25,53.05,28.22,Sandy,Sugarcane,7,3,9,Urea
37.68,54.79,33.81,Sandy,Sugarcane,15,0,45,Urea
30.1,74.95,61.83,Sandy,Sugarcane,20,2,22,Urea
27.26,59.75,46.54,Black,Sugarcane,24,0,25,28-28
23.39,51.7,38.58,Sandy,Sugarcane,17,0,40,Urea
30.55,55.03,34.97,Sandy,Sugarcane,3,19,13,17-17-17
28.25,51.77,37.97,Loamy,Sugarcane,25,0,26,10-26-26
30.42,47.39,30.58,Clayey,Sugarcane,9,15,22,28-28
29.0,67.64,61.06,Black,Sugarcane,18,1,36,28-28
40.0,78.73,39.93,Red,Sugarcane,11,8,31,17-17-17
34.46,54.47,58.14,Loamy,Sugarcane,8,10,10,20-20
31.68,62.82,43.85,Loamy,Sugarcane,18,1,15,20-20
29.15,57.25,55.55,Clayey,Sugarcane,21,0,16,28-28
35.63,59.21,51.58,Loamy,Sugarcane,40,0,0,20-20
29.11,60.77,61.25,Red,Sugarcane,10,0,41,28-28
25.65,56.93,32.12,Clayey,Sugarcane,40,3,0,Urea
32.17,55.02,37.37,Sandy,Sugarcane,20,0,14,10-26-26
32.86,59.79,41.11,Clayey,Sugarcane,33,4,1,10-26-26
30.44,69.49,24.3,Red,Sugarcane,17,0,16,28-28
29.15,57.67,32.35,Black,Sugarcane,34,0,1,10-26-26
31.72,58.72,70.0,Sandy,Sugarcane,13,0,42,28-28
28.94,62.47,31.99,Loamy,Sugarcane,38,2,3,17-17-17
31.0,51.8,44.91,Sandy,Sugarcane,15,2,12,20-20
30.3,45.03,57.51,Loamy,Sugarcane,12,3,13,17-17-17
30.56,67.31,36.79,Clayey,Sugarcane,12,4,10,20-20
25.12,58.07,40.47,Sandy,Sugarcane,12,2,10,14-35-14
28.4,57.3,49.24,Clayey,Sugarcane,8,17,10,DAP
32.01,56.9,39.16,Red,Sugarcane,17,13,14,20-20
27.48,60.62,44.8,Black,Sugarcane,14,2,11,20-20
36.73,71.35,70.0,Black,Sugarcane,11,4,38,Urea
30.09,62.9,44.53,Red,Sugarcane,38,0,0,17-17-17
29.16,61.51,34.35,Black,Sugarcane,35,0,0,20-20
30.04,44.44,43.27,Clayey,Sugarcane,8,10,10,17-17-17
40.0,74.62,44.27,Red,Sugarcane,37,4,3,14-35-14
24.32,56.65,22.81,Red,Sugarcane,12,0,37,28-28
40.0,80.0,53.26,Sandy,Sugarcane,39,0,4,17-17-17
24.27,51.0,30.89,Red,Sugarcane,17,1,18,17-17-17
39.46,66.35,42.08,Sandy,Sugarcane,4,4,26,20-20
36.94,59.89,32.39,Black,Sugarcane,5,9,34,20-20
29.65,73.8,41.76,Black,Sugarcane,16,0,6,17-17-17
25.08,59.42,37.34,Sandy,Sugarcane,42,0,2,20-20
34.36,69.3,43.14,Loamy,Sugarcane,24,2,16,Urea
31.61,56.45,63.08,Sandy,Sugarcane,9,0,35,28-28
40.0,58.59,31.87,Sandy,Sugarcane,40,1,0,17-17-17
35.7,73.21,36.23,Red,Sugarcane,9,4,9,DAP
29.4,63.14,41.1,Red,Sugarcane,10,4,40,17-17-17
26.2,58.33,54.24,Sandy,Sugarcane,13,0,35,14-35-14
32.63,56.39,70.0,Loamy,Sugarcane,41,3,0,20-20
23.88,54.05,34.53,Sandy,Sugarcane,1,22,15,10-26-26
28.53,50.22,28.54,Sandy,Sugarcane,12,0,12,28-28
25.22,48.85,64.83,Clayey,Sugarcane,5,0,9,DAP
33.55,63.26,49.37,Black,Sugarcane,4,6,19,DAP
23.94,60.79,50.62,Red,Sugarcane,2,17,13,20-20
37.37,58.9,54.37,Clayey,Sugarcane,10,18,8,14-35-14
37.95,60.75,56.21,Loamy,Sugarcane,35,2,0,17-17-17
23.5,46.98,44.43,Sandy,Sugarcane,1,20,20,17-17-17
32.22,48.92,28.62,Black,Sugarcane,11,1,34,DAP
28.2,46.89,48.92,Black,Sugarcane,9,7,33,14-35-14
30.35,64.11,45.1,Sandy,Sugarcane,34,0,4,14-35-14
31.09,49.95,49.7,Loamy,Sugarcane,7,13,18,17-17-17
25.61,54.53,30.19,Black,Sugarcane,6,9,28,14-35-14
26.61,57.49,20.0,Loamy,Sugarcane,17,0,42,17-17-17
31.55,56.81,69.3,Red,Sugarcane,11,9,17,10-26-26
30.85,57.89,52.46,Loamy,Sugarcane,11,4,12,17-17-17
32.02,65.43,53.07,Loamy,Sugarcane,7,14,32,Urea
27.52,63.71,48.66,Sandy,Sugarcane,8,0,7,28-28
27.77,46.81,52.26,Loamy,Sugarcane,25,1,22,DAP
24.66,54.0,32.86,Clayey,Sugarcane,39,0,4,14-35-14
24.63,45.95,37.32,Clayey,Sugarcane,11,2,39,17-17-17
25.05,54.36,40.75,Black,Sugarcane,8,0,37,10-26-26
26.74,46.67,64.2,Sandy,Sugarcane,36,2,0,14-35-14
32.32,54.98,49.88,Sandy,Sugarcane,12,0,8,10-26-26
28.58,65.43,55.68,Black,Sugarcane,22,0,21,Urea
39.52,67.73,51.76,Sandy,Sugarcane,11,4,26,10-26-26
33.75,69.57,30.0,Loamy,Sugarcane,11,0,11,28-28
29.82,66.48,26.27,Clayey,Sugarcane,26,0,24,14-35-14
32.46,44.86,30.71,Loamy,Sugarcane,41,0,0,17-17-17
28.26,52.27,34.48,Red,Sugarcane,8,18,11,14-35-14
22.67,44.94,57.31,Loamy,Sugarcane,21,0,19,14-35-14
23.54,58.86,47.16,Sandy,Sugarcane,40,0,0,28-28
38.93,50.59,50.36,Red,Sugarcane,10,0,43,10-26-26
25.11,48.56,39.33,Clayey,Sugarcane,40,0,0,28-28
32.02,65.33,38.04,Clayey,Sugarcane,15,0,8,17-17-17
31.58,64.65,54.87,Loamy,Sugarcane,8,0,40,14-35-14
37.71,66.52,23.68,Red,Sugarcane,12,0,15,Urea
30.86,57.51,25.42,Clayey,Sugarcane,10,0,38,10-26-26
25.53,52.33,58.88,Red,Sugarcane,13,0,30,Urea
32.93,62.95,42.75,Black,Sugarcane,26,0,23,DAP
28.62,47.01,27.51,Loamy,Sugarcane,19,18,12,17-17-17
35.0,59.47,32.84,Clayey,Sugarcane,16,0,42,14-35-14
33.7,53.48,55.24,Black,Sugarcane,8,14,12,Urea
30.34,61.61,33.6,Sandy,Sugarcane,11,4,37,DAP
36.36,66.52,63.86,Loamy,Sugarcane,37,0,2,17-17-17
29.78,63.98,40.9,Sandy,Sugarcane,10,2,41,28-28
25.18,44.54,29.17,Sandy,Sugarcane,34,3,0,10-26-26
31.87,70.05,30.84,Loamy,Sugarcane,17,4,26,14-35-14
31.18,54.18,36.66,Black,Sugarcane,37,0,1,14-35-14
33.73,61.96,28.3,Red,Sugarcane,3,13,34,DAP
